id,set,human_score,sentence_count,word_count,avg_word_length,misspell_words,char_4,char_6,char_8,char_10,char_12,mean_char,std_char,word_10,word_18,word_25,mean_word,std_word,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30,pos_31,pos_32,pos_33,pos_34,pos_35,beauty_score,vocabulory_score,maturity_score,bag_of_words_score
1,1,8,11,337,44.0059347181,25,138,59,18,8,6,4.40059347181,2.42071902523,9,7,6,30.6363636364,21.6134332272,14,20,1,56,5,10,0,0,1,0,0,0,2,0,18,1,0,57,23,15,0,29,12,19,0,0,2,10,3,13,11,0,1,0,4,6.76272103584,137,5.14109489051,7.43979648872
2,1,9,19,419,43.5322195704,31,138,82,29,9,1,4.35322195704,2.34149338432,13,7,7,22.0526315789,16.7912059822,18,35,0,57,16,8,0,0,0,0,5,0,2,0,13,2,0,64,40,14,0,34,8,19,0,1,6,17,6,16,8,2,0,0,9,14.9649708187,156,5.45692307692,13.0196438553
3,1,7,15,279,44.0501792115,11,102,53,19,4,2,4.40501792115,2.359149474,10,5,4,18.6,14.0370937163,16,28,0,35,4,8,0,0,0,0,2,0,2,0,10,2,0,42,33,14,0,14,2,13,1,0,0,8,1,22,6,1,5,0,3,5.38391442743,97,5.80164948454,11.5054888793
4,1,10,25,524,48.6832061069,72,238,132,56,13,9,4.86832061069,2.53537651578,20,8,6,20.96,18.2701505194,17,43,1,77,15,15,0,0,2,0,3,0,1,0,32,3,0,76,53,60,0,16,7,25,1,2,18,5,8,20,12,1,3,0,4,9.05292028567,195,5.94194871795,15.3982841968
5,1,8,31,465,44.0860215054,23,171,88,37,6,3,4.40860215054,2.33709109986,24,7,3,15.0,7.04364275257,15,54,1,48,26,21,0,0,0,0,5,0,1,0,23,6,0,61,44,7,0,24,4,32,4,1,3,6,2,24,13,2,1,0,5,9.49002594148,170,5.69117647059,12.0896692942
6,1,8,15,246,40.6910569106,20,68,36,13,2,0,4.06910569106,2.10327752325,11,6,3,16.4,10.54387658,9,28,0,30,5,10,0,0,0,0,0,0,1,0,8,0,0,40,9,15,0,21,6,16,0,0,5,5,2,17,5,0,2,0,6,4.39099463926,83,5.13975903614,4.64987280545
7,1,10,27,499,44.6492985972,18,210,90,23,7,0,4.46492985972,2.15286130354,20,13,2,18.4814814815,12.4762600354,16,42,2,69,18,13,0,0,3,0,3,0,0,0,20,3,0,102,30,11,0,31,23,37,1,0,6,12,4,12,16,3,5,0,3,6.77726067719,198,5.65626262626,15.8095675385
8,1,10,36,482,44.7095435685,28,188,85,35,16,2,4.47095435685,2.38937937688,24,6,2,13.3888888889,5.9408088571,19,41,0,60,8,24,0,0,1,0,5,0,1,0,37,4,0,77,35,15,0,42,7,25,2,2,6,8,5,39,12,0,1,0,5,7.48403383918,178,5.41297752809,13.3436082697
9,1,9,29,442,42.7601809955,18,140,69,20,12,7,4.27601809955,2.3056303912,19,8,3,15.2413793103,8.94294240098,22,57,1,41,13,14,0,1,2,0,3,0,0,0,27,4,0,81,24,13,0,23,8,30,0,2,1,6,5,17,18,3,6,0,1,7.66883448374,153,5.37058823529,9.2997456109
10,1,9,25,502,41.1752988048,30,153,62,20,8,4,4.11752988048,2.1088473155,21,10,7,20.08,12.1125389576,25,53,2,55,6,27,0,0,1,0,1,0,5,0,38,0,0,66,33,12,0,35,5,31,2,0,9,9,4,33,21,4,1,0,5,8.07260889341,182,5.5193956044,10.229720172
11,1,8,21,324,49.012345679,21,167,76,28,4,1,4.9012345679,2.37690090535,14,6,2,15.4285714286,7.9795657393,10,28,0,30,8,14,0,0,1,0,2,0,1,0,12,2,0,54,28,17,0,18,6,23,1,0,2,11,10,20,10,2,3,0,1,4.79177227743,121,5.84743801653,5.57984736654
12,1,8,26,392,44.693877551,46,140,81,30,1,0,4.4693877551,2.17026678918,20,8,1,15.0769230769,6.456499867,12,46,4,40,8,5,0,0,0,0,1,0,4,0,25,3,0,62,28,11,0,19,1,29,0,0,1,9,1,30,13,1,0,0,8,5.86783065465,143,5.63468531469,14.8795929774
13,1,7,7,204,39.068627451,25,62,20,6,0,0,3.9068627451,1.84795239121,6,5,4,29.1428571429,16.2166455174,12,19,0,20,7,1,0,0,0,0,0,0,1,0,10,1,0,35,10,3,0,28,2,7,0,0,6,3,1,16,4,1,1,0,5,4.60362507877,70,5.40457142857,7.43979648872
14,1,6,26,307,41.8892508143,35,106,48,10,0,0,4.18892508143,2.01225197008,14,1,0,11.8076923077,4.40296430539,17,20,0,34,4,14,0,0,0,0,3,0,2,0,25,0,0,57,33,3,0,13,14,12,0,0,1,2,9,17,7,1,0,0,1,6.39878163797,93,6.02053763441,11.1596947331
15,1,6,14,176,45.1136363636,9,74,34,10,1,0,4.51136363636,2.23220233687,8,3,0,12.5714285714,6.16110247224,8,10,2,20,4,8,0,0,0,0,0,0,2,0,12,0,0,28,27,4,0,10,0,7,0,0,0,4,1,14,3,1,0,0,0,3.51274101471,66,5.46712121212,7.22323995193
16,1,12,35,528,48.5416666667,40,252,111,51,19,3,4.85416666667,2.48401753964,27,7,4,15.0857142857,6.85928537957,20,42,0,61,22,25,0,0,0,0,2,0,4,0,28,4,0,104,52,17,0,22,7,17,4,0,11,7,7,20,9,4,1,0,2,5.72125376694,218,5.70894495413,17.0416767822
17,1,8,18,335,42.3880597015,17,107,45,14,1,0,4.23880597015,2.0006701889,16,7,4,18.6111111111,7.98010643823,14,27,2,46,20,6,0,0,0,0,1,0,3,0,11,2,0,50,15,6,0,31,10,29,1,0,0,7,3,16,7,2,2,0,3,5.75490012208,128,5.52484375,12.0896692942
18,1,8,16,367,42.0980926431,17,129,48,12,0,0,4.20980926431,1.9661372956,12,9,7,22.9375,14.1839202532,23,23,3,33,11,8,0,0,0,0,5,0,1,0,13,0,0,51,19,2,1,29,11,35,3,0,1,13,3,20,6,3,0,0,3,7.21869241716,142,5.20408450704,11.1596947331
19,1,4,7,66,44.0909090909,35,23,11,9,4,0,4.40909090909,2.76782209704,4,0,0,9.42857142857,3.4166459266,1,8,0,3,0,3,0,0,0,0,0,0,0,0,4,0,0,25,4,3,0,3,1,1,0,0,1,1,1,3,2,0,0,0,0,1.31040737044,5,6.174,0
20,1,6,11,156,44.1025641026,12,61,30,15,4,0,4.41025641026,2.47013593689,6,3,1,14.1818181818,9.71239303737,8,9,0,18,8,4,0,0,0,0,1,0,3,0,14,0,0,20,27,7,0,12,0,5,0,0,0,0,0,9,3,0,0,0,1,3.82043674946,53,5.95339622642,8.91029200099
