id,set,human_score,sentence_count,word_count,avg_word_length,misspell_words,char_4,char_6,char_8,char_10,char_12,mean_char,std_char,word_10,word_18,word_25,mean_word,std_word,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30,pos_31,pos_32,pos_33,pos_34,pos_35,beauty_score,vocabulory_score,maturity_score,bag_of_words_score
14835,6,3,10,180,47.3333333333,4,81,38,18,2,0,4.73333333333,2.34842155476,9,6,1,18.0,7.23878442834,5,29,1,26,6,3,0,0,0,0,0,0,1,0,12,0,0,29,16,8,0,5,0,8,0,0,9,3,6,1,1,1,0,0,1,1.9016266063,80,6.157375,6.11881431294
14836,6,4,9,166,45.7228915663,1,70,34,13,2,1,4.57228915663,2.36724175273,8,3,2,18.4444444444,10.3613717572,2,24,1,16,5,10,0,0,3,0,2,0,4,0,11,0,0,31,13,5,0,1,0,9,0,0,10,3,3,0,1,3,0,0,0,2.5970044576,69,6.17260869565,6.38519589473
14837,6,1,13,193,45.5440414508,17,89,35,12,1,0,4.55440414508,2.23802223477,7,5,2,15.0769230769,12.3067307317,4,25,1,28,4,5,0,0,1,0,5,0,1,0,3,1,0,23,10,40,0,4,1,5,0,0,15,2,7,2,2,0,3,0,2,6.84845358609,70,5.794,4.42805430203
14838,6,3,11,162,46.5432098765,1,74,37,14,0,0,4.65432098765,2.38869227367,7,3,0,14.7272727273,7.53284817668,0,23,1,20,4,8,0,0,0,0,0,0,1,0,16,0,0,24,12,10,0,4,0,7,0,0,10,4,6,0,0,1,0,0,0,2.60463735574,67,6.22298507463,5.31873375176
14839,6,4,11,168,50.5357142857,4,88,45,20,5,2,5.05357142857,2.64746840679,9,4,0,15.2727272727,6.25359400797,3,27,0,22,2,5,0,0,2,0,2,0,0,0,8,2,0,44,6,7,0,3,0,10,0,0,9,4,8,0,4,0,0,0,0,2.74590414805,65,7.73938461538,1.76753547404
14840,6,3,7,148,47.9054054054,5,67,34,16,3,1,4.79054054054,2.53211583269,6,5,2,21.1428571429,10.6560321137,5,24,0,21,3,5,0,1,1,0,0,0,0,0,6,0,0,30,7,11,0,5,1,7,0,0,5,3,4,0,3,2,0,0,0,1.33638286326,65,6.39138461538,3.75288473062
14841,6,3,6,128,51.328125,10,62,36,16,4,3,5.1328125,2.69257098036,5,4,1,21.3333333333,12.7104506433,3,13,0,11,2,4,0,0,0,0,2,0,0,0,7,0,0,15,8,10,0,1,1,9,0,0,8,4,3,0,0,0,0,0,0,1.76685759915,58,6.96086206897,2.36362567809
14842,6,3,10,114,47.4561403509,5,51,24,10,0,0,4.74561403509,2.18932002823,5,2,0,11.4,6.87313611098,1,16,0,12,4,1,0,0,0,0,1,0,0,0,6,1,0,22,8,5,0,5,0,3,0,0,11,2,5,1,1,2,0,0,2,2.41287507287,56,6.04625,0.883767737019
14843,6,3,12,130,46.6923076923,1,54,27,10,0,0,4.66923076923,2.2495079963,4,0,0,10.8333333333,4.01732359773,2,19,1,11,4,7,0,0,0,0,1,0,1,0,12,0,0,20,11,6,0,2,1,10,0,0,8,1,3,0,1,0,0,0,0,1.65508106422,59,6.14084745763,2.65821492376
14844,6,3,16,233,48.1115879828,7,100,60,29,9,0,4.81115879828,2.59781986442,13,3,1,14.5625,6.7728202213,9,28,1,17,5,12,0,0,2,0,0,0,0,0,16,0,0,45,7,15,0,7,0,21,0,0,19,2,12,0,2,2,1,0,1,2.76048852839,95,6.69768421053,3.53507094807
14845,6,4,19,312,48.4294871795,15,137,74,35,7,4,4.84294871795,2.5556849732,13,8,2,16.4210526316,10.7669855503,4,40,3,42,8,13,0,0,0,0,6,0,2,0,21,1,0,39,26,28,0,9,1,21,0,0,10,7,9,5,4,2,0,0,3,7.98147804181,135,6.59733333333,5.32334156023
14846,6,4,10,213,46.4319248826,3,88,44,19,6,2,4.64319248826,2.49043702036,9,5,3,21.4,12.7059041394,7,33,0,25,5,16,0,0,1,0,1,0,2,0,14,0,0,33,12,12,0,4,0,7,0,0,13,6,3,0,1,1,0,0,2,2.34215146242,76,6.07210526316,8.04774824175
14847,6,3,14,195,47.1282051282,10,88,46,14,2,2,4.71282051282,2.40480398575,9,3,1,13.9285714286,8.89995413884,3,27,1,23,4,8,0,0,1,0,0,0,0,0,7,1,0,38,13,18,0,3,3,7,0,1,14,6,3,0,2,2,0,0,0,2.80930182192,81,6.76888888889,7.44935413347
14848,6,2,7,135,44.7407407407,2,55,29,14,1,0,4.47407407407,2.48226434191,4,4,3,19.4285714286,16.9356525275,7,22,0,22,3,7,0,0,1,0,0,0,0,0,7,0,0,24,9,12,0,2,0,4,0,0,4,3,2,0,0,1,0,0,0,2.26396927033,51,6.82058823529,2.36592958232
14849,6,3,8,152,48.6184210526,9,72,39,11,2,0,4.86184210526,2.28745308526,7,4,2,19.0,9.39414711403,5,20,1,12,6,3,0,0,0,0,0,0,0,0,5,0,0,22,11,5,0,2,1,9,0,0,4,3,3,2,1,2,0,0,1,1.6098009612,66,6.32636363636,3.75288473062
14850,6,1,9,141,45.9574468085,4,54,34,13,2,0,4.59574468085,2.49564971044,7,3,2,15.6666666667,9.76387901058,5,17,0,10,3,7,0,0,0,0,4,0,1,0,6,1,0,15,10,4,0,2,0,4,0,0,8,2,5,0,0,0,0,0,1,3.75652254389,42,5.82238095238,3.75288473062
14851,6,3,8,126,45.9523809524,3,52,26,10,2,0,4.59523809524,2.29147488375,7,2,1,15.75,4.76313972081,2,22,0,14,5,3,0,0,0,0,0,0,3,0,16,0,0,19,8,4,0,2,0,11,0,0,6,3,0,0,0,0,0,0,0,1.74083058916,56,6.23857142857,2.65821492376
14852,6,3,4,87,46.5517241379,3,36,17,6,1,0,4.65517241379,2.24036742318,3,3,2,21.75,13.827056809,1,12,0,12,2,2,0,0,1,0,0,0,0,0,11,0,0,18,5,1,0,3,0,5,0,0,3,2,1,0,3,2,0,0,0,0.82628935829,42,6.38380952381,0
14853,6,2,5,88,49.8863636364,0,42,22,14,4,1,4.98863636364,2.81822605891,4,3,1,17.6,9.93176721435,2,14,0,7,2,9,0,0,4,0,0,0,0,0,2,0,0,19,5,6,0,0,0,3,0,0,4,0,5,1,0,1,0,0,0,0.73112593579,36,6.19027777778,2.25173083837
14854,6,3,10,114,49.3859649123,1,53,33,14,3,1,4.93859649123,2.69146500134,5,1,0,11.4,5.64269439187,1,18,0,12,3,7,0,0,2,0,1,0,0,0,6,0,0,16,11,12,0,2,0,2,0,0,7,2,3,1,0,1,0,0,0,1.15288981857,46,6.63195652174,2.36592958232
14855,6,4,12,244,46.3524590164,8,103,51,19,3,1,4.63524590164,2.33821085029,11,5,3,20.3333333333,9.94428926012,6,40,1,24,8,14,0,0,3,0,3,0,1,0,18,2,0,32,15,19,0,7,1,8,1,0,8,5,5,3,5,2,0,0,3,4.96662668858,96,5.66333333333,8.96202754689
14856,6,2,13,177,43.2203389831,7,65,28,8,1,1,4.32203389831,2.18028885153,8,4,0,13.6153846154,6.45145733731,0,19,3,20,3,7,0,0,0,0,4,0,1,0,5,1,0,23,3,17,0,3,1,14,0,0,9,5,2,1,3,2,0,0,1,3.20713232469,74,5.9522972973,1.76753547404
14857,6,4,13,233,49.356223176,2,108,57,26,6,1,4.9356223176,2.52063410088,10,5,3,17.9230769231,8.32476877444,5,41,2,25,2,8,0,0,2,0,1,0,0,0,22,1,0,39,17,18,0,1,0,9,0,0,18,7,6,0,1,1,0,0,0,2.75726945408,103,6.45796116505,2.06212471971
14858,6,3,7,116,45.1724137931,3,49,23,7,0,0,4.51724137931,2.22820949222,5,3,2,16.5714285714,10.9264703863,2,19,0,18,1,5,0,0,0,0,1,0,0,0,6,0,0,17,11,7,0,3,0,8,0,0,7,3,1,1,3,3,0,0,0,2.18125067864,55,6.15545454545,1.77444718674
14859,6,2,12,167,45.5688622754,9,59,33,14,4,2,4.55688622754,2.49723893414,8,4,2,13.9166666667,7.74013709324,4,21,2,18,2,7,0,0,0,0,1,0,1,0,12,0,0,28,11,9,0,3,1,12,0,1,12,5,4,1,1,1,0,0,1,4.22184937593,63,6.31253968254,1.76753547404
14860,6,3,11,210,48.0952380952,5,97,52,15,2,0,4.80952380952,2.294554561,10,6,2,19.0909090909,8.76412673091,5,30,0,25,3,11,0,0,0,0,2,0,1,0,22,0,0,29,15,21,1,3,1,9,0,0,12,6,4,0,1,0,0,0,1,2.15390640579,88,6.7,4.13346505636
14861,6,3,15,198,46.4646464646,4,83,42,14,1,0,4.64646464646,2.27238165859,10,3,1,13.2,7.66985440974,2,27,0,25,5,7,0,0,0,0,1,0,2,0,17,0,0,36,14,12,0,5,1,11,0,1,8,4,6,0,4,0,0,0,2,2.38765983627,83,6.48180722892,5.9597197624
14862,6,3,9,159,44.6540880503,12,64,29,8,0,0,4.46540880503,2.07693747952,6,5,2,17.6666666667,9.48683298051,0,17,3,13,2,11,0,0,0,0,1,0,1,0,10,0,0,12,12,10,0,3,0,7,0,0,13,3,1,0,0,3,0,0,0,1.81800261184,67,5.91850746269,1.47294622836
14863,6,3,6,109,47.1559633028,1,46,28,11,3,1,4.71559633028,2.70490549954,5,3,1,18.1666666667,10.9911580625,2,14,0,13,1,8,0,0,0,0,3,0,0,0,7,0,0,18,11,4,0,1,1,2,0,0,10,1,3,0,0,1,0,0,0,1.63265942625,46,6.575,5.66052270825
14864,6,4,9,169,48.1656804734,3,70,44,19,4,2,4.81656804734,2.69182360902,6,4,4,19.0,14.7572957475,2,23,0,25,2,12,0,0,0,0,0,0,0,0,15,0,0,24,17,7,0,4,0,9,0,0,10,5,1,4,1,0,0,0,0,2.41304534633,71,6.37042253521,9.23071303292
14865,6,3,10,175,47.7142857143,5,80,37,14,2,0,4.77142857143,2.34012616672,10,1,1,17.6,3.82622529394,5,21,2,15,8,8,0,0,0,0,2,0,0,0,12,0,0,28,14,5,1,5,1,9,0,0,11,4,4,1,2,1,0,0,3,1.62817819992,82,6.60170731707,5.36823736682
14866,6,2,5,63,44.9206349206,1,25,13,3,0,0,4.49206349206,2.12415460127,4,1,0,12.6,6.8,2,11,0,7,1,2,0,0,0,0,2,0,0,0,8,0,0,10,5,0,0,0,0,2,0,0,3,3,0,0,3,1,0,0,1,0.664712197669,28,6.7075,0
14867,6,2,8,102,46.6666666667,2,40,22,13,0,0,4.66666666667,2.47495707867,4,2,0,12.75,7.06664701255,0,13,1,13,2,8,0,0,0,0,2,0,0,0,6,1,0,15,7,7,0,1,0,5,1,0,6,1,1,1,1,2,0,0,0,0.897531875872,45,5.76977777778,1.77444718674
14868,6,3,12,204,46.9117647059,3,86,53,18,2,0,4.69117647059,2.48299052734,8,5,3,17.0,13.0384048104,2,26,1,27,4,8,0,0,0,0,1,0,1,0,16,2,0,19,14,15,1,7,1,13,0,1,13,4,7,0,3,0,0,0,4,3.17321666099,74,6.48297297297,4.72494745194
14869,6,2,8,146,45.4794520548,3,68,24,8,1,0,4.54794520548,2.13050808828,7,4,2,18.25,8.85649479196,3,26,0,21,9,3,0,0,0,0,1,0,2,0,6,0,0,25,10,7,0,5,0,3,0,0,5,4,2,1,0,2,0,0,1,1.6884899242,68,6.03691176471,3.88607552151
14870,6,2,8,130,45.0,8,59,26,4,1,0,4.5,2.19318889277,7,3,0,16.25,6.74073438136,0,21,0,16,1,5,0,0,0,0,1,0,0,0,6,0,0,20,5,13,0,1,1,2,0,0,7,2,0,0,2,0,0,0,1,2.21887476781,54,6.1962962963,0
14871,6,3,11,134,50.0746268657,2,65,38,19,5,1,5.00746268657,2.77067421739,6,1,1,12.1818181818,7.30900045172,1,21,0,12,4,8,0,0,0,0,2,0,0,0,14,0,0,16,12,6,0,0,0,5,0,0,12,3,5,0,2,2,0,0,1,1.50510846624,53,6.38264150943,7.13807674509
14872,6,3,8,144,48.6805555556,4,65,40,17,2,1,4.86805555556,2.69743863946,5,4,4,18.0,11.8638105177,2,19,1,19,5,9,0,0,2,0,0,0,0,0,11,0,0,25,9,9,0,2,0,6,0,0,5,6,4,0,0,0,0,0,0,1.56640949338,60,6.34083333333,6.86939125906
14873,6,2,7,112,45.4464285714,0,47,25,8,0,0,4.54464285714,2.34381837095,6,1,1,16.0,8.45154254729,1,20,1,12,4,6,0,0,1,0,0,0,0,0,8,0,0,17,8,12,0,1,0,4,1,0,3,2,0,0,3,1,0,0,1,1.30242297588,43,6.61302325581,2.36592958232
14874,6,1,5,112,38.6607142857,1,26,12,2,0,0,3.86607142857,1.75784232868,2,2,2,22.6,24.5812937007,4,20,0,13,3,5,0,0,1,0,0,0,0,0,4,0,0,20,3,2,0,10,0,3,1,0,6,0,4,2,1,1,0,0,3,2.20620401275,53,5.34849056604,3.75288473062
14875,6,3,6,101,43.7623762376,12,47,16,3,0,0,4.37623762376,1.96393220427,5,2,1,16.8333333333,10.9911580625,1,15,1,5,4,5,0,0,0,0,0,0,0,0,4,0,0,12,5,29,0,6,1,3,0,1,5,0,0,1,3,1,0,0,1,1.37502186013,38,6.25789473684,3.00230778449
14876,6,3,15,197,49.0355329949,6,98,46,20,1,0,4.90355329949,2.35515881077,9,4,2,13.1333333333,9.75613766929,3,17,0,22,4,4,0,0,0,0,1,0,0,0,16,1,0,21,12,10,1,8,2,10,1,1,11,6,3,1,5,0,0,0,1,2.31615596162,82,6.43317073171,5.31642984752
